created_at,series_id,domain,timestamp,last_value,predicted_next_value,change_pct,signal,warning,lower_bound,upper_bound,baseline,deviation_pct
2026-08-07 01:22:53.913562,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,True,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 01:22:54.293932,CHILI_JKT,food,2026-08-06 00:00:00,44270.0,44749.15538528399,1.082,UP,True,44192.88130020036,46028.98862135797,45503.36,-1.657
2026-08-07 01:22:54.365499,RICE_JKT,food,2026-08-06 00:00:00,13464.0,13473.854803518689,0.073,FLAT,False,13373.088127422165,13717.629489956604,13519.76,-0.34
2026-08-07 01:22:54.440053,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 01:24:28.068349,BTC_USD,crypto,2026-08-06 18:00:00,64420.2890625,64524.51389892467,0.162,FLAT,False,64345.56988437745,64824.95726152594,,
2026-08-07 01:24:28.163544,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 01:24:28.221862,CHILI_JKT,food,2026-08-06 00:00:00,44270.0,44749.15538528399,1.082,UP,False,44192.88130020036,46028.98862135797,45503.36,-1.657
2026-08-07 01:24:28.287297,RICE_JKT,food,2026-08-06 00:00:00,13464.0,13473.854803518689,0.073,FLAT,False,13373.088127422165,13717.629489956604,13519.76,-0.34
2026-08-07 01:24:28.346957,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 01:25:12.214057,BTC_USD,crypto,2026-08-06 18:00:00,64477.26953125,64524.51389892467,0.073,FLAT,False,64345.56988437745,64824.95726152594,,
2026-08-07 01:25:12.320688,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 01:25:12.389676,CHILI_JKT,food,2026-08-06 00:00:00,44270.0,44749.15538528399,1.082,UP,False,44192.88130020036,46028.98862135797,45503.36,-1.657
2026-08-07 01:25:12.450744,RICE_JKT,food,2026-08-06 00:00:00,13464.0,13473.854803518689,0.073,FLAT,False,13373.088127422165,13717.629489956604,13519.76,-0.34
2026-08-07 01:25:12.542300,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 01:48:33.276530,BTC_USD,crypto,2026-08-06 18:00:00,64477.26953125,64579.614301005546,0.159,FLAT,False,64250.27848863672,64770.856648892965,,
2026-08-07 01:48:33.482001,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 01:48:33.677242,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 01:48:33.866373,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 01:48:34.031083,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 01:48:34.213111,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 01:48:34.386625,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 01:48:34.568362,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 02:25:16.483708,BTC_USD,crypto,2026-08-06 19:00:00,64345.7109375,64740.18456689854,0.613,UP,False,64221.70786268488,64694.05281171768,,
2026-08-07 02:25:16.570932,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 02:25:16.636535,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 02:25:16.702698,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 02:25:16.768008,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 02:25:16.836701,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 02:25:16.935073,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 02:25:17.036302,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 03:25:19.615916,BTC_USD,crypto,2026-08-06 20:00:00,64438.48046875,64459.36484640398,0.032,FLAT,False,64244.430289159885,64796.12188079335,,
2026-08-07 03:25:19.818090,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 03:25:19.997748,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 03:25:20.179933,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 03:25:20.352553,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 03:25:20.536492,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 03:25:20.695226,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 03:25:20.863556,BBCA_JK,stock,2026-08-06 16:00:00,6350.0,6376.470314139912,0.417,FLAT,False,6330.62511384613,6412.669970243969,,
2026-08-07 10:52:01.887639,BTC_USD,crypto,2026-08-07 03:00:00,64309.48828125,64437.88783753421,0.2,FLAT,False,64109.932534601765,64612.9398332456,,
2026-08-07 10:52:01.964741,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 10:52:02.034118,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 10:52:02.097487,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 10:52:02.159545,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 10:52:02.220927,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 10:52:02.303730,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 10:52:02.388277,BBCA_JK,stock,2026-08-07 10:00:00,6400.0,6459.741430829941,0.933,UP,False,6380.043439081144,6472.2366941766495,,
2026-08-07 11:52:07.334333,BTC_USD,crypto,2026-08-07 04:00:00,64157.48828125,64336.845574722014,0.28,FLAT,False,64087.70498920825,64525.56713860301,,
2026-08-07 11:52:07.405578,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 11:52:07.465798,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 11:52:07.521793,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 11:52:07.578922,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 11:52:07.635114,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 11:52:07.713628,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 11:52:07.797251,BBCA_JK,stock,2026-08-07 11:00:00,6350.0,6436.743728347266,1.366,UP,False,6362.071352931651,6427.512898849477,,
2026-08-07 12:52:13.536779,BTC_USD,crypto,2026-08-07 05:00:00,64338.37109375,64190.858179122566,-0.229,FLAT,False,64127.13722815323,64493.90324998379,,
2026-08-07 12:52:13.635014,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 12:52:13.703251,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 12:52:13.774226,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 12:52:13.845552,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 12:52:13.915228,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 12:52:14.023289,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 12:52:14.127311,BBCA_JK,stock,2026-08-07 11:00:00,6350.0,6436.743728347266,1.366,UP,False,6362.071352931651,6427.512898849477,,
2026-08-07 13:52:18.479571,BTC_USD,crypto,2026-08-07 06:00:00,64242.3984375,64151.442747960806,-0.142,FLAT,False,64082.6635606838,64391.260454597774,,
2026-08-07 13:52:18.556066,CORN_GLOBAL,food,2026-08-06 00:00:00,461.25,440.99093719014274,-4.392,DOWN,False,435.8551413785201,445.3054893023241,433.68,1.685
2026-08-07 13:52:18.607664,NATGAS_GLOBAL,energy,2026-08-06 00:00:00,2.6429998874664307,2.791196790848022,5.607,UP,True,2.5383403452399764,2.751378097174805,3.29,-15.266
2026-08-07 13:52:18.655647,OIL_GLOBAL,energy,2026-08-06 00:00:00,77.30999755859375,74.47409193858128,-3.668,DOWN,True,70.8009205186577,81.96949563384811,71.17,4.64
2026-08-07 13:52:18.703861,SUGAR_GLOBAL,food,2026-08-06 00:00:00,15.579999923706056,14.972592433910007,-3.899,DOWN,True,14.916335060512662,15.088231727206413,17.07,-12.29
2026-08-07 13:52:18.748956,WHEAT_GLOBAL,food,2026-08-06 00:00:00,630.5,572.8943832686383,-9.136,DOWN,True,580.3554253471984,596.2446390315815,553.46,3.512
2026-08-07 13:52:18.817951,LOAD_JKT,energy,2026-08-06 00:00:00,14412.0,13879.189064086706,-3.697,DOWN,False,13827.130114700543,14169.704761546596,13684.37,1.424
2026-08-07 13:52:18.882515,BBCA_JK,stock,2026-08-07 11:00:00,6350.0,6436.743728347266,1.366,UP,False,6362.071352931651,6427.512898849477,,
2026-08-07 14:52:24.874464,BTC_USD,crypto,2026-08-07 07:00:00,64314.4296875,64246.35179488336,-0.106,FLAT,False,64150.01690341811,64371.96433621102,,
